SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
1,4214260802100,"SYRINGE, 1 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"13,38,072"
2,4214252310500,"SYRINGE, 3 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"37,24,282"
3,4214252309600,"SYRINGE, 5 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"72,42,501"
4,4214252314200,"SYRINGE, 10 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"1,71,71,202"
5,4214252309800,"SYRINGE, 20 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"63,72,551"
6,4214252311500,"SYRINGE, 30 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"32,66,644"
7,4214260802000,"SYRINGE, 50 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"21,76,742"
8,4214252314000,"SYRINGE, 60 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"16,23,933"
9,4110510400500,"SYRINGE, 3 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, COMPATIBLE WITH HOSPITAL MACHINE PUMP, DISPOSABLE, STERILE",EA,ITEMIZED,"33,09,360"
10,4110510400600,"SYRINGE, 5 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, COMPATIBLE WITH HOSPITAL MACHINE PUMP, DISPOSABLE, STERILE",EA,ITEMIZED,"29,25,000"
11,4110510400300,"SYRINGE, 10 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, COMPATIBLE WITH HOSPITAL MACHINE PUMP, DISPOSABLE, STERILE",EA,ITEMIZED,"42,52,500"
12,4110510400400,"SYRINGE, 20-30 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, COMPATIBLE WITH HOSPITAL MACHINE PUMP, DISPOSABLE, STERILE",EA,ITEMIZED,"19,80,000"
13,4110510400700,"SYRINGE, 50-60 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITHOUT NEEDLE, COMPATIBLE WITH HOSPITAL MACHINE PUMP, DISPOSABLE, STERILE",EA,ITEMIZED,"10,09,500"
14,4214252313000,"SYRINGE, 3 ML, LUER LOCK, SAFETY, MANUALLY RETRACTABLE, WITHOUT NEEDLE",EA,ITEMIZED,"33,85,895"
15,4214252313100,"SYRINGE, 5 ML, LUER LOCK, SAFETY, MANUALLY RETRACTABLE, WITHOUT NEEDLE",EA,ITEMIZED,"60,37,791"
16,4214260801100,"SYRINGE, 10 ML, LUER LOCK, SAFETY, MANUALLY RETRACTABLE, WITHOUT NEEDLE",EA,ITEMIZED,"21,07,425"
17,4214260801200,"SYRINGE, 20 ML, LUER LOCK, SAFETY, MANUALLY RETRACTABLE, WITHOUT NEEDLE",EA,ITEMIZED,"13,80,385"
18,4214252315000,"SYRINGE, 3 ML, CENTRAL LUER SLIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"25,89,482"
