Item Code,Old Code,Description,UOM,Item Type,Forecasted,Manufacturer,Buisness Unit
1-10504-0,JM-T3310-C,TRAY SUTURE REMOVAL 48/CS,Ea,MFG,Yes,,Medical Disposables/Classic
1-10505-0,JM-T3310P,TRAY SUTURE REMOVAL,Ea,MFG,No,,Medical Disposables/Classic
1-10519-0,JM-T3318D,TRAY DRESSING STERILE,Ea,MFG,No,,Medical Disposables/Classic
1-10522-0,JM-T3342,URINARY CATHETERIZATION TRAY,Ea,MFG,Yes,,Medical Disposables/Classic
1-10549-0,JM-C2414N,"CATHETER NELATON 14FR, 50/PK, 10PKT/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-10558-0,JM-C2420N,"CATHETER NELATON  20FR,  CS/500",Ea,MFG,Yes,,Medical Disposables/Classic
1-10579-0,JM-CF3410-3,"CATHETER FOLLEY 2-WAY, SILICONE, SIZE:CH 10, 3-5mL (SO31453)",Ea,MFG,No,,Medical Disposables/Classic
1-10152-0,JM-G2660,"MAYO STAND COVER STERILE, 50EA/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-10202-0,JM-B842008-2,BLOOD LINE FOR FRESENIUS MACHINE (2008/4008) DOUBLE NEEDLE,Ea,MFG,No,,Medical Disposables/Classic
1-10211-0,JM-S2401-4A,IV.SET SOLUTION ADM. P.V.C. 130CM. DIM.3-4MM.W/NEEDLE 21G.LL,Ea,MFG,No,,Medical Disposables/Classic
1-10262-0,JM-X2625-150,TUBING EXTENSION SET 150CM,Ea,MFG,Yes,,Medical Disposables/Classic
1-10269-0,JM-U1002,ULTRA SOUND GEL 3.8 LITERS,Ea,MFG,Yes,,Medical Disposables/Classic
1-10271-0,JM-UCC-S,"UMBILICAL CORD CLAMP STERILE, PLASTIC DISPOSABLE",Ea,MFG,Yes,,Medical Disposables/Classic
1-10329-0,JM-C2406,"CATHETER SUCTION STRAIGHT, FR 6, 50/PKT, 10PK/CS",Ea,MFG,No,,Medical Disposables/Classic
1-10350-0,JM-C2410,"CATHETER SUCTION STRAIGHT, FR 10, 50/PK, 10PK/CS",Ea,MFG,No,,Medical Disposables/Classic
1-10394-0,JM-ET-111-25,"ENDOTRACHEAL TUBE W/O CUFF, MURPHY SIZE: 2.5, CS/100",Ea,MFG,No,,Medical Disposables/Classic
1-10398-0,JM-ET-111-35,"ENDOTRACHEAL TUBE MURPHY, UN-CUFFED SIZE:3.5mm",Ea,MFG,No,,Medical Disposables/Classic
1-10413-0,JM-ET-118-65,"ENDOTRACHEAL TUBE REINFORCED SIZE:6.5,   CS/50",Ea,MFG,No,,Medical Disposables/Classic
1-10663-0,JM-EB75450,"BANDAGE ELASTIC ADHESIVE, HYPOALLERGENIC, WITH INTERLEAF PLASTIC LAYER",Ea,MFG,Yes,,Medical Disposables/Classic
1-10681-0,JM-G1010-X16NS,"GAUZE SWAB 4X4"" W/X-RAY DET. 16PLY 100/PK 5000/CS",Ea,MFG,No,,Medical Disposables/Classic
1-10683-0,JM-G2020-X1205,"GAUZE SWAB, 20X20CM (8X8""), 12PLY, X-RAY DET. 5EA/PK",Ea,MFG,No,,Medical Disposables/Classic
1-10686-0,JM-G4545-X1205,"LAP SPONGE STERILE, 45X45CM (18X18"") 12 PLY 5EA/PKT",Ea,MFG,Yes,,Medical Disposables/Classic
1-10024-1,JM-S2497-B180F,"SUCTION CONNECTING TUBE 7MM X 180CM, 20/CS",Ea,MFG,No,,Medical Disposables/Classic
1-10026-0,JM-S2497-B270F,"SUCTION CONNECTING TUBE 7MM X 270CM, 20/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-10031-0,JM-T16,"TUBE T-DRAINAGE 30-45cm, DISPOSABLE Size: FG 16",Ea,MFG,No,,Medical Disposables/Classic
1-10047-0,JM-WD5002-18,"WOUND DRAINAGE SET 400mL CAPACITY,W/TROCAR SIZE: FG. 18",Ea,MFG,No,,Medical Disposables/Classic
1-10067-0,JM-C2568,"STOMACH TUBE SIZE:18FR, CS/100",Ea,MFG,No,,Medical Disposables/Classic
1-10185-0,JM-P23721,CYSTOSCOPY PACK I (STERILE),Ea,MFG,Yes,,Medical Disposables/Classic
1-10945-0,JM-AMCA1146,"CHAMBER, HUMIDIFACTION, NON-VENTED, AUTOFEED",Ea,MFG,No,,Medical Disposables/Classic
1-10101-0,JM-C3109G,"SPECIAL HEAD CAP, GREEN",Ea,MFG,No,,Medical Disposables/Classic
1-10102-0,JM-C3160,PILLOW CASE BIG (50X75CM) NON STRILE 20/PK 10/PK CS.,Ea,MFG,No,,Medical Disposables/Classic
1-10103-0,JM-C3161,PILLOW CASE WITH LOGO 27X38CM (SAUDIA AIRLINES),Ea,MFG,No,,Medical Disposables/Classic
1-10165-0,JM-P1348NW,"STERILIZATION WRAP 48X48"", NON-WOVEN 40GSM (122X122CM)",Ea,MFG,Yes,,Medical Disposables/Classic
1-12184-0,JM-8900-M750G,ADULT MASK NEBULIZER SET,Ea,MFG,No,,Medical Disposables/Classic
1-12272-0,JM-DP3036-2T,DRAPE THEATRE WITH ADHESIVE STERILE 75CM X 90CM,Ea,MFG,No,,Medical Disposables/Classic
1-12290-0,JM-P23723,PACK: CYSTOSCOPY III STRL W/HAND TOWEL&REINFORCED GOWN L,Ea,MFG,No,,Medical Disposables/Classic
1-10910-0,EQ-EQ-05-035,EQUICEL - 5 X 35 CM,Ea,TRD,Yes,EQUIMEDICAL  B.V.,Medical Disposables/Classic
1-12411-0,JM-GB15450,"BANDAGE GAUZE, COTTON, CONFORMING, ""STERILE"" SZ:15CMX4.5CM",Ea,MFG,No,,Medical Disposables/Classic
1-12419-0,JM-P1345NW-2,WRAP STERILIZATION SZ 45X45 INCH EXCLUSIVELY ONE STEP,Ea,MFG,No,,Medical Disposables/Classic
1-12441-0,JM-TPA759,,Ea,MFG,No,,Medical Disposables/Classic
1-12463-0,JM-B842008-3,BLOODLINE FRESENIOUS DBL. NDL  ARTERIAL/VENOUS CS/20,Ea,MFG,No,,Medical Disposables/Classic
1-12381-0,JM-DRF2030H,,Ea,MFG,No,,Medical Disposables/Classic
2-10004-0,JM-CANISTER-2,SUCTION CANISTER CAPACITY: 2 LITERS,Ea,MFG,Yes,,Medical Disposables/Classic
1-11015-0,JM-C3105G,SURGEON HOOD - GREEN WITH TIE,Ea,MFG,No,,Medical Disposables/Classic
1-11041-0,JM-DP4476-C,"DRAPE SHEET 44X76"" STERILE, WITH CUT",Ea,MFG,No,,Medical Disposables/Classic
1-11057-0,JM-ETU118-50,"ENDTRACHEAL TUBE REINF, ORAL/NASAL, UN-CUFFED, Size:ID:5.0mm",Ea,MFG,No,,Medical Disposables/Classic
1-11065-0,JM-G1010-0802,"GAUZE SPONGE STRL. 10x10cm(4x4""), 8PLY, 2EA/PK ",Ea,MFG,No,,Medical Disposables/Classic
1-11088-0,JM-G2201,"GOWN SURGICAL SMALL REUSABLE, 50/CS",Ea,MFG,No,,Medical Disposables/Classic
1-11126-0,JM-P1312NW,"STERILIZATION WRAP BLUE, 12X12"" (30X30CM), NON-WOVEN",Ea,MFG,No,,Medical Disposables/Classic
1-11127-0,JM-P1315NW,"STERILIZATION WRAP BLUE, 15X15"" (38X38CM), NON-WOVEN",Ea,MFG,No,,Medical Disposables/Classic
1-11145-0,JM-PB0710-S,"ZIP LOCK PLASTIC BAG SIZE: 7X10CM, (UN-PRINTED)",Ea,MFG,No,,Medical Disposables/Classic
1-11166-0,JM-POD0915-T,DRESSING POST OPERATIVE TRANSPARENT SIZE: 9 X 15CM,Ea,MFG,No,,Medical Disposables/Classic
1-11174-0,JM-PS3900,"Laproscopic Camera Sleeve Ring Frame, Disposable",Ea,MFG,Yes,,Medical Disposables/Classic
1-11177-0,JM-S2410-Y230L,"SET I.V. ADMINISTRATION, 230CM, W/ Y INJ. SITE, CS/50",Ea,MFG,No,,Medical Disposables/Classic
1-11208-0,JM-TH210-12,THORACIC DRAINAGE CATHETER STRAIGHT SIZE:12 CS/50,Ea,MFG,No,,Medical Disposables/Classic
1-11212-0,JM-TPA259,"TAPE POROUS ADHESIVE CLEAR, Sz:2.5cmx9mtrs (Hypoallergenic)",Ea,MFG,No,,Medical Disposables/Classic
1-11718-0,JM-BT67510,BANDAGE TUBULAR SUPPORT SZ:C (6.75CM * 10M / ROLL),Ea,MFG,No,,Medical Disposables/Classic
1-11719-1,JM-C2103-L,SHOE COVER BOOTS,Ea,MFG,No,,Medical Disposables/Classic
1-11722-0,JM-ET-118-30,"ENDOTRACHEAL TUBE RNFRCD, ORAL/NASAL, Size:ID:3.0mm",Ea,MFG,No,,Medical Disposables/Classic
1-11858-0,JM-HMEF-7033,BACTERIAL VIRAL FILTER W/CO2 PORT(PLEAT),Ea,MFG,No,,Medical Disposables/Classic
1-11870-0,JM-FM-1DU,"MASK FACE, TRANSPARENT, SZ 1, ANTI-STATIC/LATEX FREE",Ea,MFG,No,,Medical Disposables/Classic
1-11871-0,JM-FM-2D,"MASK FACE, TRANSPARENT, SZ 2, ANTI-STATIC/LATEX FREE",Ea,MFG,No,,Medical Disposables/Classic
1-11971-0,1-11971-0,"CIRCUIT VENTILATOR, W/HEATED WIRE, ADULT, DISPSBLE",Ea,MFG,No,,Medical Disposables/Classic
1-12054-0,JM-SC0330,HYPERTONIC SODIUM CLORIDE DRESSING SIZE 02X100CM,Ea,MFG,Yes,,Medical Disposables/Classic
1-12097-0,JM-C2416-1,SUCTION CATHETER FINGER CONTROL SIZE 16FR,Ea,MFG,Yes,,Medical Disposables/Classic
1-12098-0,JM-DG1010P,DRESSING GAUZE PARAFFIN SIZE 10 X 10 CM,Ea,MFG,Yes,,Medical Disposables/Classic
1-12107-0,JM-FMP-1,MASK FACE ANESTHESIA LATEX FREE DIS. SIZE 1,Ea,MFG,No,,Medical Disposables/Classic
1-12128-0,JM-SPO-902,SENSOR OXYGEN PEDIATRIC,Ea,MFG,No,,Medical Disposables/Classic
1-12131-0,JM-T3224,PACK ORAL HYGIENE SINGLE USE,Ea,MFG,Yes,,Medical Disposables/Classic
1-12146-0,JM-Y2040D-1,MASK LARYNGEAL UNIQUE SIZE:4,Ea,MFG,No,,Medical Disposables/Classic
1-11526-0,PS3464ULT,10MM TROCAR WITH EXTRA CANNULA,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11549-0,PS3603,INSUFFLATION FILTER/TUBING SET 15MM FITTING,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
